% Model,200309_CounterPump6 _temp5.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Jun 18 2022, 08:33",,
% Dimension,3,,
% Nodes,40514,,
% Expressions,1,,
% Description,,,
% Length unit,cm,,
% X,Y,Z,u1 (1)
0.205799754,1.474196995,0.185444548,0.047496533
0.228886691,1.405104146,0.210299704,0.049235618
0.226823844,1.457694365,0.271430361,0.049475283
0.251973628,1.336011297,0.235154859,0.052924885
0.249484407,1.385997589,0.295720654,0.051886206
0.246995186,1.43598388,0.356286449,0.052407876
0.275060565,1.266918448,0.260010014,0.058564332
0.27214497,1.314300812,0.320010947,0.056247309
0.269229374,1.361683176,0.380011881,0.055490635
0.266313779,1.40906554,0.440012814,0.05629431
0.137474761,1.477124893,0.221813419,0.0482402
0.160424236,1.406064699,0.246349243,0.050367299
0.158254894,1.459510558,0.30779505,0.050627717
0.18337371,1.335004505,0.270885068,0.054444579
0.180777994,1.385846437,0.331766013,0.053426654
0.178182278,1.436688369,0.392646957,0.053969077
0.068874843,1.476118101,0.257543628,0.049127097
0.091686855,1.403090562,0.281760122,0.05164221
0.089411019,1.457392062,0.343521078,0.051923382
9.01E-17,1.471176618,0.292635176,0.050157224
0.332967784,1.3168793,0.241056273,0.053138229
0.310389781,1.388219889,0.216503248,0.049391487
0.330847901,1.367406108,0.301772876,0.0521236
0.287811779,1.459560479,0.191950223,0.047594927
0.308696274,1.441350624,0.277784712,0.049655202
0.328728019,1.417932915,0.362489478,0.05266932
0.390875002,1.366840152,0.222102533,0.049564616
0.368805935,1.440428482,0.197851637,0.04771058
0.389550833,1.420511403,0.283534804,0.049852381
0.448782221,1.416801005,0.203148792,0.047843493
0.489767643,1.390231963,0.278171149,0.04966092
0.430954319,1.337825968,0.296564311,0.052080859
0.528940854,1.358772637,0.352072348,0.052196269
0.372140995,1.285419974,0.314957472,0.056353287
0.469221425,1.303921499,0.36990493,0.055315023
0.566301855,1.322423025,0.424852388,0.055449538
0.429847275,1.391675507,0.358332982,0.052483921
0.370238239,1.336125069,0.376010474,0.055453955
0.468331508,1.357949326,0.432010001,0.055833381
0.368335482,1.386830164,0.437063477,0.056114971
0.46012023,1.33826844,0.197509368,0.049305911
0.491999634,1.410501224,0.135724513,0.046627303
0.471458239,1.259735876,0.191869943,0.053026284
